age,E1,N1,A1,C1,O1
16,4,4,1,4,4
19,1,5,2,2,4
46,1,2,1,2,4
21,4,3,5,4,5
21,5,1,5,1,1
23,2,5,2,4,3
18,3,2,1,4,5
16,3,2,5,3,3
22,3,3,4,3,4
24,3,1,2,3,5
21,2,5,3,5,5
39,1,2,3,3,5
18,4,5,4,3,4
20,2,4,4,4,3
20,2,4,4,4,3
47,1,2,2,5,2
17,3,2,2,3,4
23,3,2,4,4,5
22,3,4,3,5,5
22,2,5,3,3,5
18,5,1,1,5,5
23,1,3,2,2,3
27,3,1,5,5,5
37,2,2,2,3,4
26,3,2,2,3,2
15,1,4,2,1,5
27,2,2,3,4,5
57,1,4,1,3,3
23,3,2,3,5,4
19,3,5,4,4,3
15,2,5,1,3,5
19,3,3,4,3,3
16,4,1,2,3,5
23,2,3,4,4,3
17,2,5,2,2,5
20,1,5,4,3,1
23,3,3,1,5,4
38,2,3,1,4,4
24,5,3,4,5,5
21,2,3,1,5,4
37,1,5,1,3,3
18,3,2,4,4,4
32,3,4,1,2,5
31,2,3,3,4,4
23,2,4,2,3,4
37,1,1,1,1,1
21,3,4,5,5,3
20,1,4,3,4,2
17,1,5,4,2,3
17,2,5,1,2,4
43,1,1,1,5,5
53,4,2,2,3,5
30,3,4,2,4,2
15,2,5,2,3,2
20,1,5,4,4,4
23,3,5,2,5,5
54,5,1,3,1,4
21,4,4,5,2,2
33,1,3,3,3,5
15,1,4,5,4,3
1995,1,3,4,4,4
34,3,4,2,4,4
30,2,5,1,5,5
18,1,4,2,3,5
56,4,2,1,3,4
18,1,5,2,2,5
29,2,2,1,4,4
19,2,3,1,4,4
17,2,1,2,2,5
16,2,4,2,1,5
52,2,3,1,5,5
18,2,3,1,4,4
26,3,3,3,2,4
21,1,4,5,3,4
28,4,3,1,4,4
30,3,4,2,2,4
17,1,1,2,5,3
16,1,4,4,3,3
23,4,4,1,2,1
52,2,4,1,4,5
57,2,3,1,2,3
26,4,3,4,2,3
21,1,4,2,2,1
35,1,3,1,5,4
32,4,2,1,4,5
18,1,3,5,4,4
18,5,5,5,5,2
21,1,5,2,3,3
19,3,5,1,4,5
23,1,4,2,2,5
47,4,2,1,2,5
24,4,5,3,4,4
21,1,1,3,5,4
15,2,4,2,4,5
56,2,4,1,2,5
26,1,5,1,3,5
32,1,5,5,3,2
24,1,2,1,4,4
20,3,5,5,5,4
19,1,3,5,5,3
19,2,4,3,3,5
35,1,5,4,3,3
54,2,1,4,5,5
20,1,2,4,4,4
18,1,4,2,3,4
14,1,5,2,2,3
18,4,5,4,2,5
20,3,4,1,3,2
31,1,4,1,1,1
16,2,5,2,2,3
16,1,5,1,2,3
24,1,5,1,4,1
42,2,4,3,5,5
55,5,2,1,4,5
18,1,4,3,4,5
22,3,4,1,3,3
19,2,2,4,4,4
54,2,2,1,4,5
29,1,1,3,4,4
68,1,4,1,5,5
16,3,1,2,2,4
16,4,2,2,5,4
15,3,1,2,1,1
20,3,4,4,4,4
36,3,1,1,4,5
25,4,1,1,5,5
56,1,5,1,2,3
41,5,3,2,2,5
19,3,3,4,2,1
38,4,3,1,3,4
28,4,1,3,2,5
19,1,4,2,3,5
18,1,4,3,2,4
26,3,3,2,2,4
23,1,4,1,4,1
18,1,5,1,3,5
20,3,4,4,3,4
28,1,3,1,5,4
38,4,3,2,3,3
70,3,3,2,4,5
38,2,4,3,2,5
16,3,5,3,3,5
38,3,4,2,2,5
20,3,2,2,4,5
24,3,3,1,3,3
18,5,4,2,2,4
18,2,4,2,1,4
39,4,3,1,3,5
15,3,1,2,5,5
36,3,3,1,4,4
33,3,3,2,4,5
23,5,1,2,3,3
46,3,4,3,2,4
30,1,4,2,4,4
24,5,2,1,3,2
19,2,2,1,3,4
34,3,2,2,4,5
27,3,2,2,5,4
50,3,5,1,1,5
76,1,2,3,3,3
59,2,4,2,3,5
24,3,1,2,3,2
37,2,4,3,3,2
44,1,4,2,1,1
28,3,5,1,2,4
55,3,2,2,3,5
20,1,4,2,3,4
45,3,4,2,4,3
52,3,3,2,4,5
13,2,3,1,2,4
19,3,1,3,3,5
16,2,3,1,3,3
16,3,4,1,2,4
21,1,2,2,4,4
23,4,1,1,2,5
16,1,5,2,3,5
15,2,4,5,3,4
22,4,4,4,2,4
20,5,1,2,3,4
18,2,4,2,2,4
25,5,1,5,5,4
20,1,4,3,2,4
18,1,4,2,3,2
52,2,2,1,4,5
22,1,5,2,2,3
63,2,3,2,4,5
19,3,4,2,2,3
23,3,5,1,2,4
51,1,4,1,5,5
20,5,4,1,2,4
16,4,2,3,5,4
17,3,5,4,1,3
15,3,5,5,3,2
50,3,4,1,4,5
65,1,2,1,2,5
28,4,1,1,4,4
54,2,1,5,3,5
29,1,4,1,3,3
55,3,1,1,4,5
28,4,4,3,5,4
17,1,4,2,2,4
24,4,2,4,4,4
18,2,5,1,2,3
19,1,2,5,4,4
20,1,5,3,3,5
23,4,4,2,2,1
17,4,4,1,4,5
21,1,5,1,1,5
22,5,2,1,5,4
1994,1,5,4,2,4
20,2,4,5,4,5
22,3,1,5,1,5
15,1,4,5,3,5
18,1,5,2,4,5
21,3,1,5,5,3
17,1,5,5,4,3
